picture,complete_cycle,header_to_complete,pipeline_wait,parsed_bits,refill_wait,capacity_blocked,presentation_hold,ack_latency_sum,ack_count,recon_latency_sum
1,1965426,1965383,1644300,286336,34729,0,0,1636200,8100,1620000
2,4022202,2056740,1644300,367528,44894,0,0,1636200,8100,1620000
3,6076182,2053944,1644300,365064,44562,0,0,1636200,8100,1620000
4,10018078,3941860,1644300,362368,44197,0,1890977,1636200,8100,1620000
5,12061917,2043803,1644300,356080,43405,0,0,1636200,8100,1620000
6,14993337,2931384,1644300,1144992,142074,0,0,1636200,8100,1620000
7,17096061,2102688,1644300,408384,49986,0,0,1636200,8100,1620000
8,18912925,1816828,1644300,154280,18230,0,0,1636200,8100,1620000
9,20802507,1889546,1644300,218928,26300,0,0,1636200,8100,1620000
10,22695972,1893429,1644300,222400,26711,0,0,1636200,8100,1620000
11,24601008,1905000,1644300,232648,28034,0,0,1636200,8100,1620000
12,26571783,1970739,1644300,291040,35381,0,0,1636200,8100,1620000
13,28543231,1971412,1644300,291680,35414,0,0,1636200,8100,1620000
14,30521847,1978580,1644300,298088,36174,0,0,1636200,8100,1620000
15,32515536,1993653,1644300,311472,37863,0,0,1636200,8100,1620000
16,34508507,1992935,1644300,310848,37769,0,0,1636200,8100,1620000
17,36504689,1996146,1644300,313720,38108,0,0,1636200,8100,1620000
18,38507878,2003153,1644300,319968,38867,0,0,1636200,8100,1620000
19,40517066,2009152,1644300,325232,39602,0,0,1636200,8100,1620000
20,42526314,2009212,1644300,325264,39630,0,0,1636200,8100,1620000
21,44538047,2011697,1644300,327472,39907,0,0,1636200,8100,1620000
22,46551251,2013168,1644300,328824,40026,0,0,1636200,8100,1620000
23,48687783,2136496,1644300,438376,53802,0,0,1636200,8100,1620000
24,50664286,1976467,1644300,296208,35941,0,0,1636200,8100,1620000
25,52650697,1986375,1644300,305000,37057,0,0,1636200,8100,1620000
26,54632708,1981975,1644300,301080,36577,0,0,1636200,8100,1620000
27,56613653,1980909,1644300,300112,36479,0,0,1636200,8100,1620000
28,58611582,1997893,1644300,315200,38375,0,0,1636200,8100,1620000
29,60610917,1999299,1644300,316496,38485,0,0,1636200,8100,1620000
30,62609469,1998516,1644300,315744,38454,0,0,1636200,8100,1620000
31,64726727,2117222,1644300,421328,51576,0,0,1636200,8100,1620000
32,66704059,1977296,1644300,296920,36058,0,0,1636200,8100,1620000
33,68680095,1976000,1644300,295768,35914,0,0,1636200,8100,1620000
34,70668899,1988768,1644300,307104,37346,0,0,1636200,8100,1620000
35,72773449,2104514,1644300,410008,50188,0,0,1636200,8100,1620000
36,74738906,1965421,1644300,286368,34735,0,0,1636200,8100,1620000
37,76718625,1979683,1644300,298992,36373,0,0,1636200,8100,1620000
38,78698453,1979792,1644300,299096,36378,0,0,1636200,8100,1620000
39,80796685,2098196,1644300,404408,49470,0,0,1636200,8100,1620000
40,82776770,1980049,1644300,299344,36387,0,0,1636200,8100,1620000
41,84756836,1980030,1644300,299344,36368,0,0,1636200,8100,1620000
42,86739645,1982773,1644300,301784,36671,0,0,1636200,8100,1620000
43,88846699,2107018,1644300,412224,50476,0,0,1636200,8100,1620000
44,90839651,1992916,1644300,310816,37782,0,0,1636200,8100,1620000
45,92837465,1997778,1644300,315136,38324,0,0,1636200,8100,1620000
46,94839191,2001690,1644300,318672,38700,0,0,1636200,8100,1620000
47,96844018,2004791,1644300,321344,39129,0,0,1636200,8100,1620000
48,98850340,2006286,1644300,322680,39288,0,0,1636200,8100,1620000
49,100857711,2007335,1644300,323616,39401,0,0,1636200,8100,1620000
50,102864635,2006888,1644300,323232,39338,0,0,1636200,8100,1620000
51,104875139,2010468,1644300,326416,39734,0,0,1636200,8100,1620000
52,106884928,2009753,1644300,325760,39675,0,0,1636200,8100,1620000
53,108895307,2010343,1644300,326280,39745,0,0,1636200,8100,1620000
54,110902547,2007204,1644300,323488,39398,0,0,1636200,8100,1620000
55,112908643,2006060,1644300,322456,39286,0,0,1636200,8100,1620000
56,115043800,2135121,1644300,437200,53603,0,0,1636200,8100,1620000
57,117023817,1979981,1644300,299328,36335,0,0,1636200,8100,1620000
58,119017405,1993552,1644300,311344,37890,0,0,1636200,8100,1620000
59,121008635,1991194,1644300,309312,37564,0,0,1636200,8100,1620000
60,122992419,1983748,1644300,302656,36774,0,0,1636200,8100,1620000
61,124971044,1978589,1644300,298072,36199,0,0,1636200,8100,1620000
62,126959302,1988222,1644300,306640,37264,0,0,1636200,8100,1620000
63,128947965,1988627,1644300,306952,37357,0,0,1636200,8100,1620000
64,131054708,2106707,1644300,412008,50381,0,0,1636200,8100,1620000
65,133038773,1984029,1644300,302920,36791,0,0,1636200,8100,1620000
66,135020035,1981226,1644300,300352,36556,0,0,1636200,8100,1620000
67,137117963,2097892,1644300,404112,49462,0,0,1636200,8100,1620000
